State or otherjurisdiction,1991,1992,1994,1996,1997,1998,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Massachusetts,3.75,4.25,4.25,4.75,5.25,5.25,6.0,6.75,6.75,6.75,6.75,6.75,6.75,7.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,10.0,11.0,11.0,12.75,12.75,13.5,14.25,15.00
Michigan,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.95,7.15,7.4,7.4,7.4,7.4,7.4,8.15,8.15,8.5,8.9,9.25,9.65,9.65,9.65,9.87,10.10
Minnesota,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,6.15,8.0,9.0,9.5,9.5,9.86,10.0,10.0,10.08,10.33,10.59
Mississippi,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Missouri,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,6.65,7.05,7.25,7.25,7.25,7.35,7.5,7.65,7.65,7.7,7.85,9.45,9.45,10.3,11.15,12.00
Montana,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.25,6.9,7.25,7.35,7.65,7.8,7.9,8.05,8.05,8.15,8.3,8.65,8.65,8.75,9.2,9.95
Nebraska,3.35,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,10.50
Nevada,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.33,6.85,7.55,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,8.25,9.0,9.75,10.5,11.25
NewHampshire,3.85,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
NewJersey,3.8,4.25,5.05,5.05,5.05,5.05,5.15,5.15,5.15,5.15,5.15,5.15,6.15,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.25,8.38,8.38,8.44,8.6,11.0,11.0,12.0,13.0,14.13
NewMexico,3.35,3.35,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,9.0,9.0,10.5,11.5,12.00
NewYork,3.8,4.25,4.25,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,6.0,6.75,7.15,7.15,7.15,7.25,7.25,7.25,7.25,8.0,8.75,9.0,9.7,10.4,11.8,11.8,12.5,13.2,14.20
NorthCarolina,3.35,3.8,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.15,6.15,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
NorthDakota,3.4,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Ohio,3.8,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,4.25,6.85,7.0,7.3,7.3,7.4,7.7,7.85,7.95,8.1,8.1,8.15,8.3,8.7,8.7,8.8,9.3,10.10
Oklahoma,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Oregon,4.75,4.75,4.75,4.75,5.5,6.0,6.5,6.5,6.5,6.9,7.05,7.25,7.5,7.8,7.95,8.4,8.4,8.5,8.8,8.95,9.1,9.25,9.75,9.75,10.75,11.25,12.0,12.75,13.5,14.20
Pennsylvania,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,6.25,7.15,7.15,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
RhodeIsland,4.25,4.45,4.45,4.45,5.15,5.15,5.65,6.15,6.15,6.15,6.75,6.75,6.75,7.4,7.4,7.4,7.4,7.4,7.4,7.75,8.0,9.0,9.6,9.6,10.1,10.5,11.5,11.5,12.25,13.00
SouthCarolina,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
SouthDakota,3.8,4.25,4.25,4.25,4.25,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,8.5,8.55,8.65,8.85,9.3,9.3,9.45,9.95,10.80
Tennessee,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Texas,3.35,3.35,3.35,3.35,3.35,3.35,3.35,3.35,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Utah,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Vermont,3.85,4.25,4.25,4.75,5.0,5.25,5.75,6.25,6.25,6.25,6.75,7.0,7.25,7.53,7.68,8.06,8.06,8.15,8.46,8.6,8.73,9.15,9.6,10.0,10.5,10.96,10.96,11.75,12.55,13.18
Virginia,2.65,3.65,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,9.5,11.0,12.00
Washington,4.25,4.25,4.25,4.9,4.9,4.9,6.5,6.72,6.9,7.01,7.16,7.35,7.63,7.93,8.07,8.55,8.55,8.67,9.04,9.19,9.32,9.47,9.47,11.0,11.5,13.5,13.5,13.69,14.49,15.74
WestVirginia,3.35,3.8,4.25,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.85,6.55,7.25,7.25,7.25,7.25,7.25,7.25,8.0,8.75,8.75,8.75,8.75,8.75,8.75,8.75,8.75
Wisconsin,3.8,3.8,4.25,4.25,4.75,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.7,6.5,6.5,6.5,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25,7.25
Wyoming,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15,5.15
DistrictofColumbia,4.85,5.45,4.25,5.25,5.75,6.15,6.15,6.15,6.15,6.15,6.15,6.6,7.0,7.0,7.0,7.55,8.25,8.25,8.25,8.25,9.5,10.5,11.5,11.5,13.25,14.0,15.0,15.2,16.1,17.00
